Facility Name,Address,County,City,Zip,Phone,Fax,Facility ID,Operator,Certificate Number,Number of Beds,Assisted Living Program Beds,Assisted Living Residence (ALR) Beds,Enhanced ALR Beds,Special Needs ALR Beds,Type,Classification,Regional Office,Location
"Bristol Village, Inc.",8455 Clarence Center Road,Erie,Clarence Center,14032,(716) 319-9500,(716) 319-9501,AF0609A,"Bristol Village, Inc.",240-S-107,110,0,110,20,36,EHP,NFP,WRO,"8455 Clarence Center Road
Clarence Center, NY 14032
(43.01338953700008, -78.67922567799997)"
Peregrine's Landing Senior Community,575 Cayuga Creek Road,Erie,Cheektowaga,14227,(716) 893-3000,(716) 893-3103,AF0615A,"Peregrine's Landing, L.L.C",240-S-109,112,0,112,25,22,EHP,PPHA,WRO,"575 Cayuga Creek Road
Cheektowaga, NY 14227
(42.87814342200005, -78.76531121799997)"
Brookdale Kenmore,2971 Delaware Avenue,Erie,Kenmore,14217,(716) 874-3200,(716) 873-4953,AF0893A,"WW Kenmore Operator, Inc.",240-S-113,120,0,120,120,0,EHP,PPHA,WRO,"2971 Delaware Avenue
Kenmore, NY 14217
(42.96522080300008, -78.87029502799999)"
Elderwood Assisted Living at Hamburg,76 Buffalo Street,Erie,Hamburg,14075,(716) 649-7676,(716) 648-5607,AF0548B,"76 Buffalo Street Operating Company, LLC",240-S-117,103,30,103,10,0,EHP/ALP,PPHA,WRO,"76 Buffalo Street
Hamburg, NY 14075
(42.71823042900007, -78.82929865499995)"
Elderwood Assisted Living at West Seneca,580 Orchard Park Road,Erie,West Seneca,14224,(716) 677-4242,(716) 677-0883,AF0578B,"580 Orchard Park Road Operating Company, LLC",240-S-119,128,24,128,10,0,EHP/ALP,PPHA,WRO,"580 Orchard Park Road
West Seneca, NY 14224
(42.83151347000006, -78.77785676099995)"
Canterbury Woods Gates Circle,1 Gates Circle,Erie,Buffalo,14209,(716) 929-5150,(716) 929-5108,AF0757A,"Episcopal Church Home & Affiliates Life Care Community, Inc.",240-S-127,5,0,5,5,0,EHP,NFP,WRO,"1 Gates Circle
Buffalo, NY 14209
(42.92031065100008, -78.86751141899998)"
The Amberleigh,2330-40 Maple Road,Erie,Amherst,14221,(716) 689-4195,(716) 636-3687,AF0743A,"CSL Amberleigh, Inc.",240-S-125,76,0,76,76,17,EHP,PPHA,WRO,"2330-40 Maple Road
Amherst, NY 14221
(42.98943347200003, -78.70333789699998)"
Juniper Glen Alzheimer's Special Care Center,8820 Transit Road,Erie,East Amherst,14051,(716) 568-2099,(716) 568-2089,AF0758A,"Amherst Care Group, LLC",240-F-894,66,0,66,66,66,AH,PPHA,WRO,"8820 Transit Road
East Amherst, NY 14051
(43.00872397400008, -78.69696958299994)"
The Meadows,2650 North Forest Road,Erie,Getzville,14068,(716) 639-3311,(716) 689-0002,AF0731A,"Menorah Campus Adult Home, Inc.",240-S-123,48,0,0,0,0,EHP,NFP,WRO,"2650 North Forest Road
Getzville, NY 14068
(43.01405413400005, -78.78447006299996)"
Heathwood Assisted Living at Williamsville,815 Hopkins Road,Erie,Williamsville,14221,(716) 688-0111,(716) 688-7266,AF0686B,"Heathwood Assisted Living at Williamsville, Inc.",240-F-881,115,36,115,35,25,AH/ALP,PPHA,WRO,"815 Hopkins Road
Williamsville, NY 14221
(43.000677335000034, -78.73945395799996)"
Garden House,2720 North Forest Road,Erie,Getzville,14068,(716) 639-3311,(716) 639-3309,AF0879A,"Menorah Campus Adult Home, Inc.",240-S-121,48,0,48,33,24,EHP,NFP,WRO,"2720 North Forest Road
Getzville, NY 14068
(43.01588893200005, -78.78638180599995)"
Fox Run at Orchard Park,One Fox Run Lane,Erie,Orchard Park,14127,(716) 662-5001,(716) 662-6985,AF0662A,"Orchard Park CCRC, Inc.",240-S-111,52,0,52,0,18,EHP,NFP,WRO,"One Fox Run Lane
Orchard Park, NY 14127
(42.76173933100006, -78.77245490299998)"
Blocher Homes,135 Evans Street,Erie,Williamsville,14221,(716) 810-7400,(716) 631-9244,AF0453A,"The Blocher Homes, Inc.",240-E-003,65,0,65,17,0,AH,NFP,WRO,"135 Evans Street
Williamsville, NY 14221
(42.96771470400006, -78.73913444999994)"
Elderwood Assisted Living at Cheektowaga,229 Bennett Road,Erie,Cheektowaga,14227,(716) 681-8631,(716) 681-8762,AF0531C,"229 Bennett Road Operating Company, LLC",240-F-886,80,66,0,0,0,AH/ALP,PPHA,WRO,"229 Bennett Road
Cheektowaga, NY 14227
(42.88933947700008, -78.74685110699994)"
Elderwood Assisted Living at Tonawanda,111 Ensminger Road,Erie,Tonawanda,14150,(716) 871-1814,(716) 871-0809,AF0568C,"111 Ensminger Road Operating Company, LLC",240-F-890,120,49,0,0,0,AH/ALP,PPHA,WRO,"111 Ensminger Road
Tonawanda, NY 14150
(42.988119502000075, -78.88787163399996)"
Bristol Home,1500 Main Street,Erie,Buffalo,14209,(716) 884-4371,(716) 884-0850,AF0459A,"Bristol Home, Inc.",240-E-004,55,0,55,0,0,AH,NFP,WRO,"1500 Main Street
Buffalo, NY 14209
(42.91410256200004, -78.86500391699997)"
Brothers of Mercy Sacred Heart Home,"4520 Ransom Road, P.O. Box 117",Erie,Clarence,14031,(716) 759-2644,(716) 759-6433,AF0461A,Brothers of Mercy,240-E-005,70,0,0,0,0,AH,NFP,WRO,"4520 Ransom Road, P.O. Box 117
Clarence, NY 14031
(42.96936367300003, -78.59264596599996)"
GreenField Terrace,5979 Broadway Street,Erie,Lancaster,14086,(716) 681-4434,(716) 681-6894,AF0526A,"Lutheran Church Home Of Buffalo, Inc.",240-E-013,56,0,56,23,42,AH,NFP,WRO,"5979 Broadway Street
Lancaster, NY 14086
(42.894289729000036, -78.62785279599996)"
Dosberg Manor,2680 North Forest Road,Erie,Amherst,14068,(716) 639-3311,(716) 639-3309,AF0484A,"Menorah Campus Adult Home,  Inc.",240-E-141,96,30,0,0,0,AH/ALP,NFP,WRO,"2680 North Forest Road
Amherst, NY 14068
(43.014975797000034, -78.78545675999999)"
Glenwell,2248 Old Union Road,Erie,Cheektowaga,14227,(716) 608-7000,(716) 608-0151,AF0499A,"DePaul Adult Care Communities, Inc.",240-E-146,120,16,104,0,24,AH/ALP,NFP,WRO,"2248 Old Union Road
Cheektowaga, NY 14227
(42.87152729300004, -78.75579655499996)"
Brompton Heights,275 Brompton Road,Erie,Williamsville,14221,(716) 634-5734,(716) 634-1416,AF0460A,"Brompton Heights, Inc.",240-F-133,200,0,200,200,20,AH,PPHA,WRO,"275 Brompton Road
Williamsville, NY 14221
(42.973323779000054, -78.70829300299994)"
Eden Heights of West Seneca,3030 Clinton Street,Erie,West Seneca,14224,(716) 822-4466,(716) 822-5107,AF0486B,"Eden Management of West Seneca, Inc.",240-F-848,120,0,0,0,0,AH,PPHA,WRO,"3030 Clinton Street
West Seneca, NY 14224
(42.860490370000036, -78.76517220399995)"
Brookdale Williamsville,6076 Main Street,Erie,Williamsville,14221,(716) 632-7123,(716) 632-7512,AF0465A,"Williamsville Clare Bridge Operator, Inc.",240-F-851,52,0,0,0,0,AH,PPHA,WRO,"6076 Main Street
Williamsville, NY 14221
(42.96576532900008, -78.72712351899997)"
Park Creek Senior Living Community,410 Mill Street,Erie,Amherst,14221,(716) 632-3000,(716) 632-3003,AF0657B,Mill Street Assisted Living LLC,240-F-876,94,0,0,0,0,AH,PPHA,WRO,"410 Mill Street
Amherst, NY 14221
(42.97544083200006, -78.74447658999998)"
"Absolut at Orchard Brooke, LLC",6060 Armor Road,Erie,Orchard Park,14127,(716) 662-6753,(716) 662-6752,AF0537C,"Absolut at Orchard Brooke, LLC",240-F-878,80,0,0,0,0,AH,PPHA,WRO,"6060 Armor Road
Orchard Park, NY 14127
(42.75124529400006, -78.76270557199996)"
Tennyson Court,49 Tennyson Court,Erie,Williamsville,14221,(716) 632-9496,(716) 632-1822,AF0565B,"Tennyson Court, LLC",240-F-874,93,0,93,40,32,AH,PPHA,WRO,"49 Tennyson Court
Williamsville, NY 14221
(42.971130251000034, -78.69883243399994)"
Orchard Heights,5200 Chestnut Ridge Road,Erie,Orchard Park,14127,(716) 662-0651,(716) 662-3870,AF0538B,"Orchard Heights, Inc.",240-F-884,200,0,200,200,22,AH,PPHA,WRO,"5200 Chestnut Ridge Road
Orchard Park, NY 14127
(42.74379085900006, -78.74818585799994)"
Oakwood Senior Living,3456 Delaware Avenue,Erie,Kenmore,14217,(716) 877-7171,(716) 877-6383,AF0521B,"Kenwell Gardens, LLC",240-F-888,148,16,0,0,0,AH/ALP,PPHA,WRO,"3456 Delaware Avenue
Kenmore, NY 14217
(42.978400512000064, -78.87205626799994)"
Peregrine's Landing at Orchard Park,101 Sterling Drive,Erie,Orchard Park,14127,(716) 675-1022,(716) 675-1007,AF0466B,"Peregrine Properties of Upstate, LLC",240-F-827,52,0,0,0,0,AH,PPHA,WRO,"101 Sterling Drive
Orchard Park, NY 14127
(42.789944630000036, -78.76647638799994)"
The Courtyards LLC,5285 South Park Avenue,Erie,Hamburg,14075,(716) 649-9111,(716) 649-3553,AF0480B,The Courtyards LLC,240-F-872,133,0,0,0,0,AH,PPHA,WRO,"5285 South Park Avenue
Hamburg, NY 14075
(42.75343049000003, -78.82470782399997)"
Keene Valley Neighborhood House,1782 Route 73,Essex,Keene Valley,12943,(518) 576-4474,(518) 576-2012,AF0070A,"Keene Valley Neighborhood Services, Inc.",260-E-006,50,0,50,0,0,AH,NFP,CDRO,"1782 Route 73
Keene Valley, NY 12943
(44.18969854000005, -73.78643169799994)"
Elderwood Village at Ticonderoga,1019 Wicker Street,Essex,Ticonderoga,12883,(518) 585-3871,(518) 585-2576,AF0608B,"1019 Wicker Street AL Operating Company, LLC",260-F-020,23,0,0,0,0,AH,PPHA,CDRO,"1019 Wicker Street
Ticonderoga, NY 12883
(43.84954513000008, -73.43559110699994)"
Champlain Valley Senior Community,10 Gilliland Lane,Essex,Willsboro,12996,(888) 963-1110,(888) 963-1110,AF0707A,"Stonebrook Properties, LLC",260-F-018,81,0,81,29,21,AH,PPHA,CDRO,"10 Gilliland Lane
Willsboro, NY 12996
(44.364296153000055, -73.39056160699994)"
Adirondack Manor HFA D.B.A Montcalm Manor HFA,45 Montcalm Street,Essex,Ticonderoga,12883,(518) 585-6230,(518) 585-6467,AF0004A,"Kane, James E.",260-F-016,40,30,0,0,0,AH/ALP,PPHA,CDRO,"45 Montcalm Street
Ticonderoga, NY 12883
(43.84824340600005, -73.43029683199995)"
The Farrar Home,46 Constable Street,Franklin,Malone,12953,(518) 483-7550,(518) 483-8107,AF0041A,Farrar Home For Deserving Old Ladies,270-E-005,30,0,0,0,0,AH,NFP,CDRO,"46 Constable Street
Malone, NY 12953
(44.85521593100003, -74.28722653199998)"
Alice Hyde Assisted Living Program,45 Sixth Street,Franklin,Malone,12953,(518) 481-8401,(518) 481-8403,AF0725A,Alice Hyde Medical Center,270-E-007,30,30,0,0,0,AH/ALP,NFP,CDRO,"45 Sixth Street
Malone, NY 12953
(44.860184348000075, -74.29201112699997)"
Willing Helpers' Home for Women,"226 West Madison Ave, P.O. Box O",Fulton,Johnstown,12095,(518) 762-7719,(518) 762-3415,AF0136A,Willing Helpers,280-E-008,20,0,0,0,0,AH,NFP,CDRO,"226 West Madison Ave, P.O. Box O
Johnstown, NY 12095
(42.99969372000004, -74.37853813899994)"
Pineview Commons H.F.A.,201 South Melcher Street,Fulton,Johnstown,12095,(518) 762-5488,(518) 762-5583,AF0093B,"Pineview Commons, LLC",280-F-034,94,52,0,0,0,AH/ALP,PPHA,CDRO,"201 South Melcher Street
Johnstown, NY 12095
(43.001858138000046, -74.37550950699995)"
Leroy Manor,8678 Lake Street Road,Genesee,Leroy,14482,(585) 768-6291,(585) 768-6293,AF0512D,"Leroy Manor, LLC",290-F-005,79,79,0,0,0,AH/ALP,PPHA,WRO,"8678 Lake Street Road
Leroy, NY 14482
(42.99267165800006, -77.98814037799997)"
Genesee Adult Home,278 Bank Street,Genesee,Batavia,14020,(585) 344-0584,(585) 344-4685,AF0498B,Genesee Center Operating II LLC,290-F-007,80,0,80,0,40,AH,PPHA,WRO,"278 Bank Street
Batavia, NY 14020
(43.00870878300003, -78.17608794099993)"
The Manor House,427 East Main Street,Genesee,Batavia,14020,(585) 344-2345,(585) 344-4482,AF0899A,"Manor House Enriched, LLC",290-S-003,60,0,0,0,0,EHP,PPHA,WRO,"427 East Main Street
Batavia, NY 14020
(42.99624436600004, -78.17334472399995)"
The Eliot at Catskill,122 Jefferson Heights,Greene,Catskill,12414,(518) 943-7100,(518) 943-7123,AF0091C,"The Eliot at Catskill, LLC",300-F-033,98,49,0,0,0,AH/ALP,PPHA,CDRO,"122 Jefferson Heights
Catskill, NY 12414
(42.229556769000055, -73.87384791299996)"
Home Sweet Home of Athens,71 Second Street,Greene,Athens,12015,(518) 945-1673,(518) 945-2082,AF0015B,"The W Group at Hudson, LLC",300-F-034,24,21,0,0,0,AH/ALP,PPHA,CDRO,"71 Second Street
Athens, NY 12015
(42.26256228500006, -73.81390125799999)"
Home Sweet Home on the Hudson,38 Prospect Avenue,Greene,Catskill,12414,(518) 943-5701,(518) 943-5033,AF0115C,"The W Group at Catskill, LLC",300-F-032,60,39,0,0,0,AH/ALP,PPHA,CDRO,"38 Prospect Avenue
Catskill, NY 12414
(42.21712043400004, -73.85931516399995)"
"Valley Residential Services, Inc.",161 Valley Drive,Herkimer,Herkimer,13350,(315) 219-5700,(315) 866-0016,AF0719A,"Valley Health Services, Inc.",320-S-001,76,36,0,0,0,EHP/ALP,NFP,CNYRO,"161 Valley Drive
Herkimer, NY 13350
(43.04177408400005, -74.95531417599994)"
Middleville Rest Home,19 North Main Street  P.O. Box 128,Herkimer,Middleville,13406,(315) 891-3695,(315) 891-3136,AF0083A,"Caiola, Rachel",320-F-019,24,0,0,0,0,AH,PPHA,CNYRO,"19 North Main Street P.O. Box 128
Middleville, NY 13406
(43.13987678600006, -74.96980091799998)"
Foltsbrook Center for Senior Living,104 North Washington Street,Herkimer,Herkimer,13350,(315) 866-6964,(315) 866-6760,AF0042C,"ClaxtonManor, LLC (as Receiver)",320-E-008,80,0,0,0,0,AH,NFP,CNYRO,"104 North Washington Street
Herkimer, NY 13350
(43.026958611000055, -74.98527630999996)"
The Mohawk Homestead,62 East Main Street,Herkimer,Mohawk,13407,(315) 866-1841,(315) 866-0603,AF0085A,"The Mohawk Homestead, Inc.",320-E-005,41,20,0,0,0,AH/ALP,NFP,CNYRO,"62 East Main Street
Mohawk, NY 13407
(43.01265918800004, -74.99974089499995)"
Samaritan Summit Village,22691 Campus Drive,Jefferson,Watertown,13601,(315) 782-6800,(315) 782-6950,AF0705A,"Samaritan Senior Village, Inc.",330-E-005,120,89,31,31,0,AH/ALP,NFP,CNYRO,"22691 Campus Drive
Watertown, NY 13601
(43.94930218400003, -75.90937499199998)"
The Lodge at Ives Hill,1200 Jewell Drive,Jefferson,Watertown,13601,(315) 681-4038,(315) 681-6039,AF0694A,"The Lodge at Ives Hill, Inc.",330-S-038,24,0,0,0,0,EHP,NFP,CNYRO,"1200 Jewell Drive
Watertown, NY 13601
(43.96155263000003, -75.93481912599998)"
Meadowbrook Terrace Assisted Living Facility,21957 Cole Road,Jefferson,Carthage,13619,(315) 519-1246,(315) 519-1339,AF0704A,Meadowbrook Terrace Inc.,330-E-004,60,58,0,0,0,AH/ALP,NFP,CNYRO,"21957 Cole Road
Carthage, NY 13619
(43.985283233000075, -75.64994414199998)"
Sunrise at Sheepshead Bay,2211 Emmons Avenue,Kings,Brooklyn,11235,(718) 616-1850,(718) 616-1841,AF0831A,"GWC-Sheepshead Bay, Inc.",331-S-012,189,0,189,189,41,EHP,PPHA,MARO,"2211 Emmons Avenue
Brooklyn, NY 11235
(40.58382045700006, -73.94588980099996)"
Brooklyn Boulevard ALP,636 Louisiana Avenue,Kings,Brooklyn,11239,(718) 557-0777,(718) 642-3510,AF0749A,Brooklyn Boulevard ALP LLC,331-S-014,184,184,0,0,0,EHP/ALP,PPHA,MARO,"636 Louisiana Avenue
Brooklyn, NY 11239
(40.64695435800007, -73.88522253999997)"
Sunrise at Mill Basin,5905 Strickland Avenue,Kings,Brooklyn,11234,(718) 444-2600,(718) 444-2167,AF0809A,"GWC-Mill Basin, Inc.",331-S-011,142,0,142,142,39,EHP,PPHA,MARO,"5905 Strickland Avenue
Brooklyn, NY 11234
(40.60755645100005, -73.91597802499996)"
"Moffat Gardens ALP, Inc",22 Moffat Street,Kings,Brooklyn,11207,(718) 366-3800,(866) 340-5850,AF0680A,"Ridgewood Bushwick Senior Citizens Council, Inc",331-S-009,30,30,0,0,0,EHP/ALP,NFP,MARO,"22 Moffat Street
Brooklyn, NY 11207
(40.68376561500003, -73.91005570499993)"
Assisted Living at Jennings Hall,260 Powers Street,Kings,Brooklyn,11211,(718) 782-3390,(718) 387-6335,AF0679A,St. Nick's Alliance Corp,331-S-007,40,40,0,0,0,EHP/ALP,NFP,MARO,"260 Powers Street
Brooklyn, NY 11211
(40.71270687800006, -73.94046591999995)"
Cumberland Gardens NY Foundation EHP #6,425 Cumberland Street,Kings,Brooklyn,11201,(718) 623-8181,(718) 623-2809,AF0230A,"New York Foundation for Senior Citizens, Inc.",331-S-003,47,0,0,0,0,EHP,NFP,MARO,"425 Cumberland Street
Brooklyn, NY 11201
(40.683019149000074, -73.97178587799993)"
Brookdale Hospital Medical Center ALP,558-578 Rockaway Parkway,Kings,Brooklyn,11212,(718) 240-6225,(718) 240-6851,AF0212A,Brookdale Hospital Medical Center,331-S-001,43,43,0,0,0,EHP/ALP,NFP,MARO,"558-578 Rockaway Parkway
Brooklyn, NY 11212
(40.65454007400007, -73.91289655499997)"
Brooklyn Terrace,2316 Surf Avenue,Kings,Brooklyn,11224,(718) 996-8400,(718) 996-8403,AF0409B,"Brooklyn Terrace, LLC",331-F-290,200,0,0,0,0,AH,PPHA,MARO,"2316 Surf Avenue
Brooklyn, NY 11224
(40.57380119600003, -73.99027005899995)"
The Belvedere,5110 19th Avenue,Kings,Brooklyn,11204,(718) 223-1800,(718) 223-1801,AF0367B,Boro Park Senior Living Community LLC,331-F-288,200,0,200,50,32,AH,PPHA,MARO,"5110 19th Avenue
Brooklyn, NY 11204
(40.62572436200003, -73.97992168499997)"
Amber Court of Brooklyn,650 East 104th Street,Kings,Brooklyn,11236,(718) 649-0700,(718) 649-4441,AF0425B,"Amber Court of Brooklyn, LLC",331-F-284,224,116,0,0,0,AH/ALP,PPHA,MARO,"650 East 104th Street
Brooklyn, NY 11236
(40.64911541600003, -73.89778917399997)"
Kings Adult Care Center,2255 Cropsey Avenue,Kings,Brooklyn,11214,(718) 266-5858,(718) 266-6406,AF0205C,"Kings Adult Care Center, LLC",331-F-281,200,200,0,0,0,AH/ALP,PPHA,MARO,"2255 Cropsey Avenue
Brooklyn, NY 11214
(40.595902040000055, -73.99699169299998)"
Garden of Eden Assisted Living Program,1608-1620 Stillwell Avenue,Kings,Brooklyn,11223,(718) 236-5757,(718) 236-1985,AF0251B,"Garden of Eden Home, LLC",331-F-280,201,200,0,0,0,AH/ALP,PPHA,MARO,"1608-1620 Stillwell Avenue
Brooklyn, NY 11223
(40.606969579000065, -73.98723321199998)"
Brooklyn Adult Care Center,2830 Pitkin Avenue,Kings,Brooklyn,11208,(718) 235-0900,(718) 235-5916,AF0213B,"Gefen ACF, LLC",331-F-278,210,200,0,0,0,AH/ALP,PPHA,MARO,"2830 Pitkin Avenue
Brooklyn, NY 11208
(40.67599973700004, -73.86747623199994)"
Mermaid Manor Home for Adults,3602 Mermaid Avenue,Kings,Brooklyn,11224,(718) 266-2100,(718) 266-2103,AF0311B,"Mermaid Manor Home for Adults, LLC",331-F-276,200,199,0,0,0,AH/ALP,PPHA,MARO,"3602 Mermaid Avenue
Brooklyn, NY 11224
(40.57468462000003, -74.00196793099997)"
The Waterford on the Bay,2900 Bragg Street,Kings,Brooklyn,11235,(718) 891-8400,(718) 769-1006,AF0351B,"The Palm Home for Adults, LLC",331-F-272,200,44,156,156,38,AH/ALP,PPHA,MARO,"2900 Bragg Street
Brooklyn, NY 11235
(40.58351468800004, -73.93290525199995)"
Oceanview Manor Home for Adults,3010 West 33rd Street,Kings,Brooklyn,11224,(718) 996-1500,(718) 946-9102,AF0383B,"Oceanview Home for Adults, Inc.",331-F-270,176,169,0,0,0,AH/ALP,PPHA,MARO,"3010 West 33rd Street
Brooklyn, NY 11224
(40.57265714600004, -73.99921687499995)"
New South Shore Manor,1041 East 83rd Street,Kings,Brooklyn,11236,(718) 241-7035,(718) 241-7039,AF0332A,"Katz, George",331-F-266,74,0,0,0,0,AH,PPHA,MARO,"1041 East 83rd Street
Brooklyn, NY 11236
(40.634598803000074, -73.90844916799995)"
Signature Senior Living,631 Foster Avenue,Kings,Brooklyn,11230,(718) 859-2400,(718) 859-7911,AF0382B,"SMACF, Inc.",331-F-022,199,0,0,0,0,AH,PPHA,MARO,"631 Foster Avenue
Brooklyn, NY 11230
(40.63051582000003, -73.97052285799998)"
St. Nicholas Home,437 Ovington Avenue,Kings,Brooklyn,11209,(718) 238-8141,(718) 680-2035,AF0404A,St. Nicholas Home Inc.,331-E-125,75,0,0,0,0,AH,NFP,MARO,"437 Ovington Avenue
Brooklyn, NY 11209
(40.633247922000066, -74.02275895899999)"
Harbor View Home for Adults,3900 Shore Parkway,Kings,Brooklyn,11235,(718) 769-9700,(718) 934-0680,AF0261B,"Harbor View Senior Living Residence, LLC",331-F-282,162,0,0,0,0,AH,PPHA,MARO,"3900 Shore Parkway
Brooklyn, NY 11235
(40.58520417400007, -73.93068725499995)"
Norwegian Christian Home and Health Care Center,1250-1270 67th Street,Kings,Brooklyn,11219,(718) 232-2322,(718) 331-5111,AF0337A,Norwegian Christian,331-E-030,88,88,0,0,0,AH/ALP,NFP,MARO,"1250-1270 67th Street
Brooklyn, NY 11219
(40.625155050000046, -74.00334669399996)"
East Road Adult Home,7731 East Road,Lewis,Lowville,13367,(315) 376-7072,(855) 277-4713,AF0038B,Homes for Humanity Holdings 1 LLC,340-F-019,20,0,0,0,0,AH,PPHA,CNYRO,"7731 East Road
Lowville, NY 13367
(43.84366586800007, -75.51284181599993)"
Morgan Estates,4588 Morgan View Road,Livingston,Geneseo,14454,(585) 243-6000,(585) 243-0286,AF0535A,"Bruckel, Peter S.",350-F-008,78,0,78,39,27,AH,PPHA,WRO,"4588 Morgan View Road
Geneseo, NY 14454
(42.79580055000008, -77.77804936299998)"
Alpine Manor,2714 Poplar Hill Road,Livingston,Lima,14485,(585) 346-5880,(585) 346-5011,AF0441A,"Kinsella, Louise",350-F-001,41,0,0,0,0,AH,PPHA,WRO,"2714 Poplar Hill Road
Lima, NY 14485
(42.86910998700006, -77.65517675399997)"
Hamilton Manor Home for Adults,8196 Green Road,Madison,Hubbardsville,13355,(315) 691-4051,(315) 691-3043,AF0052B,8196 Green Road LLC,360-F-010,38,0,0,0,0,AH,PPHA,CNYRO,"8196 Green Road
Hubbardsville, NY 13355
(42.81533973100005, -75.45678161999996)"
Seniorfirst Assisted Living at Valley Manor,1530 East Avenue,Monroe,Rochester,14610,(585) 770-1953,(585) 442-6177,AF0685A,Presbyterian Resident Center Corporation,370-S-853,13,0,13,0,0,EHP,NFP,WRO,"1530 East Avenue
Rochester, NY 14610
(43.14736506100007, -77.56296423899994)"
Heathwood Assisted Living at Penfield,100 Elderwood Court,Monroe,Penfield,14526,(585) 425-9663,(585) 388-8632,AF0676B,"Heathwood Assisted Living at Penfield, Inc.",370-S-852,151,25,151,25,24,EHP/ALP,PPHA,WRO,"100 Elderwood Court
Penfield, NY 14526
(43.13682980600004, -77.44018604799999)"
Legacy at Maiden Park,749 Maiden Lane,Monroe,Rochester,14615,(585) 546-7275,(520) 797-7757,AF0746B,"Rochester Operating Company, LLC",370-F-254,98,0,98,39,26,AH,PPHA,WRO,"749 Maiden Lane
Rochester, NY 14615
(43.22369348700005, -77.66430830699994)"
Emeritus at the Landing of Brockport,90 West Avenue,Monroe,Brockport,14420,(585) 637-3140,(585) 637-3145,AF0567B,Wegman Family (Brockport) LLC II,370-S-849,114,0,114,80,34,EHP,PPHA,WRO,"90 West Avenue
Brockport, NY 14420
(43.22010747000007, -77.94188176999995)"
The Village at Mill Landing,45 Mill Road,Monroe,Rochester,14626,(585) 720-3033,(585) 720-3031,AF0748A,WRP Operating Greece LLC,370-S-859,150,0,150,75,55,EHP,PPHA,WRO,"45 Mill Road
Rochester, NY 14626
(43.23114237300007, -77.70093621199999)"
The Northfield,4560 Nine Mile Point Road,Monroe,Fairport,14450,(585) 377-1810,(585) 232-3062,AF0632A,"Family Services of Rochester, Inc.",370-S-847,79,0,0,0,0,EHP,NFP,WRO,"4560 Nine Mile Point Road
Fairport, NY 14450
(43.11232238800005, -77.44170288299995)"
Glenmere at Cloverwood,One Wheatley Terrace,Monroe,Pittsford,14534,(585) 248-1200,(585) 248-1101,AF0626A,"Cloverwood Senior Living, Inc.",370-S-845,77,0,77,19,19,EHP,NFP,WRO,"One Wheatley Terrace
Pittsford, NY 14534
(43.08349633300003, -77.54494445799997)"
Seabury Woods,110 Dalaker Drive,Monroe,Rochester,14624,(585) 426-4950,(585) 429-4625,AF0593A,"CH Services, Inc.",370-S-841,85,0,85,8,24,EHP,NFP,WRO,"110 Dalaker Drive
Rochester, NY 14624
(43.140001547000054, -77.74180199999995)"
Brentland Woods,3831 East Henrietta Road,Monroe,Henrietta,14467,(585) 321-1490,(585) 321-3289,AF0455A,"CH Services, Inc.",370-S-838,60,0,0,0,0,EHP,NFP,WRO,"3831 East Henrietta Road
Henrietta, NY 14467
(43.046986170000025, -77.61908942999997)"
Greece Long Pond Senior Housing,1 GBC Parkway,Monroe,Rochester,14626,(585) 227-3007,(585) 227-1307,AF0734A,"Family Service of Rochester, Inc.",370-S-857,30,0,0,0,0,EHP,NFP,WRO,"1 GBC Parkway
Rochester, NY 14626
(43.16465100900007, -77.63095620399997)"
Wolk Manor Enriched Living Center,4000 Summit Circle Drive,Monroe,Rochester,14618,(585) 442-1950,(585) 442-5095,AF0561A,"Jewish Home of Rochester Enriched Housing, Inc. and Jewish Senior Life",370-S-836,85,0,85,20,18,EHP,NFP,WRO,"4000 Summit Circle Drive
Rochester, NY 14618
(43.10534579500006, -77.58180107099997)"
Laurelwood at the Highlands,300 Hahnemann Trail,Monroe,Pittsford,14534,(585) 389-1630,(585) 586-4758,AF0523A,Highland Community Development Corp.,370-S-835,68,0,68,0,0,EHP,NFP,WRO,"300 Hahnemann Trail
Pittsford, NY 14534
(43.08528602100006, -77.49672005599996)"
The Landing of Brighton,1350 Westfall Road,Monroe,Rochester,14618,(585) 271-1925,(585) 242-0744,AF0716B,"Brighton Senior Care, LLC",370-S-197,121,0,121,44,34,EHP,PPHA,WRO,"1350 Westfall Road
Rochester, NY 14618
(43.115689459000066, -77.58261021399994)"
The Hamlet at Park Ridge,1471 Long Pond Road,Monroe,Rochester,14626,(585) 723-7820,(585) 723-7118,AF0540A,"Park Ridge Housing, Inc.",370-S-193,66,0,66,0,21,EHP,NFP,WRO,"1471 Long Pond Road
Rochester, NY 14626
(43.196696864000046, -77.70141766799998)"
Family Srvs/Rochester EHP3 Hudson-Ridge Towers,401 Seneca Manor Drive,Monroe,Rochester,14621,(585) 266-5610,(585) 232-3062,AF0496A,Family Services Of Rochester,370-S-191,47,0,0,0,0,EHP,NFP,WRO,"401 Seneca Manor Drive
Rochester, NY 14621
(43.19361267600004, -77.60364720499996)"
Family Srvs/Rochester EHP1 Danforth Towers East,140 West Avenue,Monroe,Rochester,14611,(585) 436-9462,(585) 529-4863,AF0494A,Family Services Of Rochester,370-S-051,28,0,0,0,0,EHP,NFP,WRO,"140 West Avenue
Rochester, NY 14611
(43.150011523000046, -77.64179849999994)"
