,AID CODE,AID CODE NAME,BENEFITS,ELIGIBILITY GROUP,SHORT DESCRIPTION,GROUP CODE,TYPE,FEDERAL CATEGORY,"MEDICAID 
OR CHIP","SOCIAL SECURITY ACT 
CITATION","CODE OF FEDERAL REGULATIONS
CITATION"
119,2P,Foster Children/Youth - Approved Relative Caregiver (ARC) - Medi-Cal for Non State CalWORKS,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
120,2R,Foster Care Non Minor Dependents (NMD) - Approved Relative Caregiver (ARC) - Medi-Cal for Non State CalWORKS,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
121,2S,Foster Children/Youth - Approved Relative Caregiver (ARC) - Medi-Cal for CalWORKS,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
122,2T,Foster Children/Youth - Approved Relative Caregiver (ARC) - Medi-Cal for State CalWORKS,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
123,2U,Foster Care Non Minor Dependents (NMD) - Approved Relative Caregiver (ARC) - Medi-Cal for State CalWORKS,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
125,3A,"CalWORKS - Timed-Out, Safety Net - All Other Families",Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
126,3C,"CalWORKS - Timed-Out, Safety Net -Two-Parent Families",Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
127,3D,CalWORKS - Pending,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
128,3E,CalWORKS - Legal Immigrant Family Group,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
129,3F,CalWORKS - Children of Two-Parent Safety Net and Drug/Fleeing Felon Family,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
130,3G,CalWORKS - (State) - Zero Parent Exempt,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
131,3H,CalWORKS - Zero Parent Mixed,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
132,3L,CalWORKS - Legal Immigrant - Aid to Families,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
133,3M,CalWORKS - Legal Immigrant - Two Parent,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
134,3N,Aid to Families with Dependent Children (AFDC) - 1931(b) Non CalWORKS,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
135,3P,CalWORKS - All Families - Exempt,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
136,3R,CalWORKS - Zero Parent - Exempt,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
138,3T,Transitional Medi-Cal (TMC) - Initial 6 months,Restricted or Limited (No SOC),Transitional Medical Assistance,Families with Medicaid eligibility extended for up to 12 months because of earnings.,2,Family/Adult,Mandatory  ,Medicaid,408(a)(11)(A); 1902(a)(52); 1902(e)(1)(B); 1925; 1931(c)(2),0
139,3U,CalWORKS - Legal Immigrant - Two Parent Mixed,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
140,3V,Aid to Families with Dependent Children (AFDC) - Non CalWORKS,Restricted or Limited (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
141,3W,Temporary Assistance to Needy Families (TANF) - Timed Out - Mixed Case,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
142,4A,Adoption Assistance Program (AAP) - Adoption Out-of-State,Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
143,4C,Foster Care Supportive Transitional Emancipation Program (STEP),Full Scope (No SOC),Independent Foster Care Adolescents,"Individuals under an age specfified by the State, less than age 21, who were in State-sponsored foster care on their 18th birthday and who meet the income standard established by the State.",30,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVII),42 CFR 435.226
144,4E,Hospital Presumptive Eligibility (HPE) - Former Foster Youth,Full Scope (No SOC),Former Foster Care Children,"Individuals under the age of 26, not othewise mandatorily eligible, who were in foster care and on Mediciad either when they turned age 18 or agedout of foster care. ",9,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(IX) ,42 CFR 435.150
145,4F,Foster Children/Youth - Kinship Guardianship Assistance Payment (Kin-GAP),Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
146,4G,Foster Children/Youth - Kinship Guardianship Assistance Payment (Kin-GAP) State Program,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
147,4H,Foster Children/Youth - in CalWORKS,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
148,4K,Foster Children/Youth - Emergency Assistance (EA),Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
149,4L,Foster Children/Youth - in 1931(b),Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
150,4M,Former Foster Youth (FFY),Full Scope (No SOC),Former Foster Care Children,"Individuals under the age of 26, not othewise mandatorily eligible, who were in foster care and on Mediciad either when they turned age 18 or agedout of foster care. ",9,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(IX) ,42 CFR 435.150
151,4N,Foster Care Non Minor Dependent (NMD) - CalWORKS,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
154,4S,Foster Care Non Minor Dependent (NMD) - Title IV-E Extended - Kinship Guardianship Assistance Payment (Kin-GAP),Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
155,4T,Foster Children/Youth - Title IV-E Kinship Guardianship Assistance Program (Kin-GAP),Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
157,4W,Foster Care Non Minor Dependent (NMD) - Kinship Guardianship Assistance Program (Kin-GAP) - State Cash,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
158,5C,Medi-Cal Presumptive Eligibility Transitional Children - Healthy Families Program (HFP) (Obsolete),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
159,5D,Medi-Cal Presumptive Eligibility Transitional Children - Healthy Families Program (HFP) (Obsolete) Premium,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
160,5E,Medi-Cal Presumptive Eligibility Transitional Children - Healthy Families Program (HFP) (Obsolete),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
161,5F,Pregnant - Omnibus Budget Reconcilliation Act (OBRA) Alien (Deactivated Aid Code),Restricted or Limited (SOC/No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
162,5J,Pending SB 87 Disability Determination,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
163,5K,Emergency Assistance (EA) Foster Care,Full Scope (No SOC),Children with Non-IV-E Adoption Assistance,"Children with special needs for whom there is a non-IV-E adoption assistance agreement in effect with a state, who either were eligible for Medicaid or had income at or below a standard established by the state.",29,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(VIII),42 CFR 435.227
164,5L,Emergency Assistance (EA) Foster Care,Full Scope (No SOC),Children with Non-IV-E Adoption Assistance,"Children with special needs for whom there is a non-IV-E adoption assistance agreement in effect with a state, who either were eligible for Medicaid or had income at or below a standard established by the state.",29,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(VIII),42 CFR 435.227
165,5R,Pending SB 87 Disability Determination,Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
166,5T,Transitional Medi-Cal (TMC) - Additional 6 Month,Restricted or Limited (No SOC),Transitional Medical Assistance,Families with Medicaid eligibility extended for up to 12 months because of earnings.,2,Family/Adult,Mandatory  ,Medicaid,408(a)(11)(A); 1902(a)(52); 1902(e)(1)(B); 1925; 1931(c)(2),0
168,5W,Four-Month Continuing,Restricted or Limited (No SOC),Extended Medicaid due to Spousal Support Collections,Families with Medicaid eligibility extended for 4 months as the result of the collection of spousal support.,4,Family/Adult,Mandatory  ,Medicaid,408(a)(11)(B); 1931(c)(1),42 CFR 435.115
169,6A,Disabled Adult Child(ren) (DAC) - Blind,Full Scope (No SOC),Disabled Adult Children,Individuals who lose eligibility for SSI at age 18 or older due to receipt of or increase inTitle II OASDI child benefits. ,22,ABD,Mandatory  ,Medicaid,1634(c),0
170,6C,Disabled Adult Child(ren) (DAC) - Disabled,Full Scope (No SOC),Disabled Adult Children,Individuals who lose eligibility for SSI at age 18 or older due to receipt of or increase inTitle II OASDI child benefits. ,22,ABD,Mandatory  ,Medicaid,1634(c),0
171,6E,Disabled - Pending SB 87 Redetermination,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
173,6G,Working Disabled Program - 250% Federal Poverty Level (FPL) - Premium,Full Scope (No SOC),Work Incentives Eligibility Group,"Individuals with a disability with income below 250% of the FPL, who would qualify for SSI except for earned income.",47,ABD,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XIII),0
174,6H,Disabled - Federal Poverty Level (FPL) Program,Full Scope (No SOC),Poverty Level Aged or Disabled,"Individuals who are aged or disabled with income equal to or less than a percentage of the FPL, established by the state (no higher than 100%)",46,ABD,Optional  ,Medicaid,"1902(a)(10)(A)(ii)(X), and 1902(m)(1)",0
175,6J,SB 87 Pending Disability,Full Scope (No SOC),Working Disabled under 1619(b),"Blind or disabled individuals who participated in Medicaid as SSI cash recipients or who were considered to be receiving SSI, who would still qualify for SSI except for earnings.",21,ABD,Mandatory  ,Medicaid,1619(b); 1902(a)(10)(A)(i)(II)(bb); 1905(q),0
178,6N,Former Supplemental Security Income (SSI) Recipients - No Longer Disabled In Appeals Status,Full Scope (No SOC),Working Disabled under 1619(b),"Blind or disabled individuals who participated in Medicaid as SSI cash recipients or who were considered to be receiving SSI, who would still qualify for SSI except for earnings.",21,ABD,Mandatory  ,Medicaid,1619(b); 1902(a)(10)(A)(i)(II)(bb); 1905(q),0
179,6P,Personal Responsibility and Work Opportunity Reconciliation Act (PRWORA) - No Longer Disabled Children,Full Scope (No SOC),Working Disabled under 1619(b),"Blind or disabled individuals who participated in Medicaid as SSI cash recipients or who were considered to be receiving SSI, who would still qualify for SSI except for earnings.",21,ABD,Mandatory  ,Medicaid,1619(b); 1902(a)(10)(A)(i)(II)(bb); 1905(q),0
180,6R,SB 87 Pending Disability,Full Scope (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
181,6S,Disabled - Substantial Gainful Activity (SGA),Full Scope (SOC/No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
183,6U,Disabled - Federal Poverty Level (FPL) Program ,Restricted or Limited (No SOC),Poverty Level Aged or Disabled,"Individuals who are aged or disabled with income equal to or less than a percentage of the FPL, established by the state (no higher than 100%).",46,ABD,Optional  ,Medicaid,"1902(a)(10)(A)(ii)(X), and 1902(m)(1)",0
184,6V,Disabled - Department of Developmental Services (DDS) Waiver,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
185,6W,Disabled - Department of Developmental Services (DDS)  Waivers ,Full Scope (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
186,6X,Medi-Cal In-Home Operations (IHO) Waiver,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
187,6Y,Medi-Cal In-Home Operations (IHO) Waiver,Full Scope (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
188,7A,Children - Ages 6 to 19 - 0% to 100% Federal Poverty Level (FPL),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
189,7C,Children - Ages 6 to 19 - 0% to 100% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
190,7D,Aged - Hospital Presumptive Eligibility (HPE) - 65 Years or Older and Income At or Below 138% FPL,Full Scope (No SOC),Poverty Level Aged or Disabled,"Individuals who are aged or disabled with income equal to or less than a percentage of the FPL, established by the state (no higher than 100%)",46,ABD,Optional  ,Medicaid,"1902(a)(10)(A)(ii)(X), and 1902(m)(1)",0
191,7F,Pregnancy Verification Presumptive Eligibility (PE),Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
192,7G,Ambulatory Prenatal Care Presumptive Eligibility (PE) ,Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
193,7H,Tuberculosis Program,Restricted or Limited (No SOC),Individuals with Tuberculosis,"Individuals infected with tuberculosis who income does not exceed established standards, limited to tuberculosis-related services.",36,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XII); 1902(z),42 CFR 435.215
194,7J,Children - Up To Age 19 - Continuous Eligibility for Children (CEC) ,Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
195,7K,Children - Up To Age 19 - Continuous Eligibility for Children (CEC) ,Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
200,7S,Parent and Caretaker Relative Express Lane Enrollment (ELE) ,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
201,7T,Express Enrollment - National School Lunch Program,Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
202,7U,Adults - Ages 19 to 64 - Express Lane Enrollment (ELE) (Obsolete),Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
204,7W,Children - Age Under 19 - Express Lane Enrollment (ELE) ,Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
205,7X,One Month Medi-Cal to Healthy Families Bridge (Obsolete),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
206,8A,Qualified Disabled Working Individual (QDWI),No Medi-Cal Benefits,Qualified Disabled and Working Individuals,"Working, disabled individuals with income equal to or less than 200% of the FPL, who are entitled to Medicare Part A under section 1818A, who qualify for payment of Medicare Part A premiums.",24,ABD,Mandatory  ,Medicaid,1902(a)(10)(E)(ii); 1905(p)(3)(A)(i); 1905(s),0
207,8C,Specified Low-Income Medicare Beneficiary (SLMB),No Medi-Cal Benefits,Specified Low Income Medicare Beneficiaries,"Individuals with income between 100% and 120% of the FPL who are entitled to Medicare Part A, who qualify for payment of Medicare Part B premiums.",25,ABD,Mandatory  ,Medicaid,1902(a)(10)(E)(iii); 1905(p)(3)(A)(ii),0
208,8D,Qualifying Individual (QI),No Medi-Cal Benefits,Qualifying Individuals,"Individuals with income between 120% and 135% of the FPL who are entitled to Medicare Part A, who qualify for payment of Medicare Part B premiums.",26,ABD,Mandatory  ,Medicaid,1902(a)(10)(E)(iv); 1905(p)(3)(A)(ii),0
209,8E,Children - Accelerated Enrollment (AE),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
211,8G,Qualified Working Disabled Under 1619(b),Full Scope (No SOC),Working Disabled under 1619(b),"Blind or disabled individuals who participated in Medicaid as SSI cash recipients or who were considered to be receiving SSI, who would still qualify for SSI except for earnings.",21,ABD,Mandatory  ,Medicaid,1619(b); 1902(a)(10)(A)(i)(II)(bb); 1905(q),0
212,8H,"Family Planning Access, Care, and Treatment (FPACT)",Restricted or Limited (No SOC),Individuals Eligible for Family Planning Services,"Individuals who are not pregnant, with income equal to or below the highest standard for pregnant women, as specified by the State, limited to family planning and related services. ",35,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XXI),42 CFR 435.214
213,8L,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL),Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
214,8N,Children - Ages 1 to 6 - 0% to 133% Federal Poverty Level (FPL) - Excess Property,Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,MCHIP,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
215,8P,Children - Ages 1 to 6 - 0% to 133% Federal Poverty Level (FPL) - Excess Property,Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,MCHIP,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
216,8R,Children - Ages 6 to 19 - 100% Federal Poverty Level (FPL) - Excess Property,Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,MCHIP,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
