AID CODE,AID CODE NAME,BENEFITS,ELIGIBILITY GROUP,SHORT DESCRIPTION,GROUP CODE,TYPE,FEDERAL CATEGORY,"MEDICAID 
OR CHIP","SOCIAL SECURITY ACT 
CITATION","CODE OF FEDERAL REGULATIONS
CITATION"
0R,Breast and Cervical Cancer Treatment Program (BCCTP) -High Cost Other Health Coverage,Restricted or Limited (No SOC),State - Breast and Cervical Cancer Treatment Program (BCCTP) - High Cost Other Health Coverage,State - Breast and Cervical Cancer Treatment Program (BCCTP) - High Cost Other Health Coverage,-,N/A,N/A,N/A,N/A,N/A
0T,Breast and Cervical Cancer Treatment Program (BCCTP) - State Only,Restricted or Limited (No SOC),State - Breast and Cervical Cancer Treatment Program (BCCTP),State - Breast and Cervical Cancer Treatment Program (BCCTP),-,N/A,N/A,N/A,N/A,N/A
0U,Breast and Cervical Cancer Treatment Program (BCCTP),Restricted or Limited (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
0V,Post Breast and Cervical Cancer Treatment Program (BCCTP),Restricted or Limited (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
0W,Breast and Cervical Cancer Treatment Program (BCCTP) - Transitional,Full Scope (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
0X,Breast and Cervical Cancer Treatment Program (BCCTP) - Transitional,Restricted or Limited (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
0Y,Breast and Cervical Cancer Treatment Program (BCCTP) Transitional - Age Over 65 ,Restricted or Limited (No SOC),Certain Individuals Needing Treatment for Breast and Cervical Cancer,Individuals under the age of 65 who have been screened for breast or cervical cancer and need treatment.,34,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVIII); 1902(aa),42 CFR 435.213
1A,Aged - Cash Assistance Program for Immigrants (CAPI) - Qualified Aliens,Full Scope (No SOC),N/A,N/A,-,N/A,N/A,N/A,N/A,N/A
1E,Aged - Pending SB 87 Redetermination,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
1F,Aged - Personal Care Services Program (PCSP),No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
1H,Aged - Federal Poverty Level (FPL) Program,Full Scope (No SOC),Poverty Level Aged or Disabled,"Individuals who are aged or disabled with income equal to or less than a percentage of the FPL, established by the state (no higher than 100%)",46,ABD,Optional  ,Medicaid,"1902(a)(10)(A)(ii)(X), and 1902(m)(1)",N/A
1U,Aged - Federal Poverty Level (FPL) Program ,Restricted or Limited (No SOC),Poverty Level Aged or Disabled,"Individuals who are aged or disabled with income equal to or less than a percentage of the FPL, established by the state (no higher than 100%)",46,ABD,Optional  ,Medicaid,"1902(a)(10)(A)(ii)(X), and 1902(m)(1)",N/A
1V,Trafficking and Crime Victims Assistance Program (TCVAP) - Refugee Cash Assistance (RCA),No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
1X,Aged - Multipurpose Senior Services Program (MSSP) Institutional Deeming/Spousal Impoverishment,Full Scope (No SOC),Individuals Eligible for Home and Community Based Services - Special Income Level,"Individuals with income equal to or below 300% of the SSI federal benefit rate, who meet the eligibility requirements for a waiver approved for the State under 1915(c.), (d.), or (e.), or 1115.",52,ABD,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XXII); 1915(i),N/A
1Y,Aged - Multipurpose Senior Services Program (MSSP) Institutional Deeming/Spousal Impoverishment,Full Scope (SOC),Individuals Eligible for Home and Community Based Services - Special Income Level,"Individuals with income equal to or below 300% of the SSI federal benefit rate, who meet the eligibility requirements for a waiver approved for the State under 1915(c.), (d.), or (e.), or 1115.",52,ABD,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XXII); 1915(i),N/A
2A,Abandoned Baby Program,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
2C,County Children's Health Initiative Program (C-CHIP),Full Scope (No SOC),Targeted Low Income Children,Uninsured children under age 19 who do not have access to public employee coverage and whose household income is within standards established by the state.,61,Children,SCHIP,SCHIP,2102(b)(1)(B)(v),42 CFR 457.310
2E,Blind - Pending SB 87 Redetermination,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
2F,Blind - Personal Care Services Program (PCSP),No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
2H,Blind - Federal Poverty Level (FPL) Program,Full Scope (No SOC),Poverty Level Aged or Disabled,"Individuals who are aged or disabled with income equal to or less than a percentage of the FPL, established by the state (no higher than 100%)",46,ABD,Optional  ,Medicaid,"1902(a)(10)(A)(ii)(X), and 1902(m)(1)",N/A
2K,County First Choice Option,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
2L,In Home Supportive Services (IHSS) - Plus Waiver,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
2M,In Home Supportive Services (IHSS) - Personal Care Services Program,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
2N,In Home Supportive Services (IHSS) - Residual,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
2P,Foster Children/Youth - Approved Relative Caregiver (ARC) - Medi-Cal for Non State CalWORKS,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
2R,Foster Care Non Minor Dependents (NMD) - Approved Relative Caregiver (ARC) - Medi-Cal for Non State CalWORKS,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
2S,Foster Children/Youth - Approved Relative Caregiver (ARC) - Medi-Cal for CalWORKS,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
2T,Foster Children/Youth - Approved Relative Caregiver (ARC) - Medi-Cal for State CalWORKS,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
2U,Foster Care Non Minor Dependents (NMD) - Approved Relative Caregiver (ARC) - Medi-Cal for State CalWORKS,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
2V,Trafficking and Crime Victims Assistance Program (TCVAP) - Refugee Medical Assistance (RMA),Full Scope (No SOC),State - Trafficking and Crime Victims Assistance Program (TCVAP) - Refugee Medical Assistance (RMA),State - Trafficking and Crime Victims Assistance Program (TCVAP) - Refugee Medical Assistance (RMA),-,N/A,N/A,N/A,N/A,N/A
3A,"CalWORKS - Timed-Out, Safety Net - All Other Families",Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
3C,"CalWORKS - Timed-Out, Safety Net -Two-Parent Families",Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
3D,CalWORKS - Pending,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
3E,CalWORKS - Legal Immigrant Family Group,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
3F,CalWORKS - Children of Two-Parent Safety Net and Drug/Fleeing Felon Family,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
3G,CalWORKS - (State) - Zero Parent Exempt,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
3H,CalWORKS - Zero Parent Mixed,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
3L,CalWORKS - Legal Immigrant - Aid to Families,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
3M,CalWORKS - Legal Immigrant - Two Parent,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
3N,Aid to Families with Dependent Children (AFDC) - 1931(b) Non CalWORKS,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
3P,CalWORKS - All Families - Exempt,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
3R,CalWORKS - Zero Parent - Exempt,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
3S,CalWORKS Regular Domestic Partner,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
3T,Transitional Medi-Cal (TMC) - Initial 6 months,Restricted or Limited (No SOC),Transitional Medical Assistance,Families with Medicaid eligibility extended for up to 12 months because of earnings.,2,Family/Adult,Mandatory  ,Medicaid,408(a)(11)(A); 1902(a)(52); 1902(e)(1)(B); 1925; 1931(c)(2),N/A
3U,CalWORKS - Legal Immigrant - Two Parent Mixed,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
3V,Aid to Families with Dependent Children (AFDC) - Non CalWORKS,Restricted or Limited (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
3W,Temporary Assistance to Needy Families (TANF) - Timed Out - Mixed Case,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
4A,Adoption Assistance Program (AAP) - Adoption Out-of-State,Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
4C,Foster Care Supportive Transitional Emancipation Program (STEP),Full Scope (No SOC),Independent Foster Care Adolescents,"Individuals under an age specfified by the State, less than age 21, who were in State-sponsored foster care on their 18th birthday and who meet the income standard established by the State.",30,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XVII),42 CFR 435.226
4E,Hospital Presumptive Eligibility (HPE) - Former Foster Youth,Full Scope (No SOC),Former Foster Care Children,"Individuals under the age of 26, not othewise mandatorily eligible, who were in foster care and on Mediciad either when they turned age 18 or agedout of foster care. ",9,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(IX) ,42 CFR 435.150
4F,Foster Children/Youth - Kinship Guardianship Assistance Payment (Kin-GAP),Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
4G,Foster Children/Youth - Kinship Guardianship Assistance Payment (Kin-GAP) State Program,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
4H,Foster Children/Youth - in CalWORKS,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
4K,Foster Children/Youth - Emergency Assistance (EA),Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
4L,Foster Children/Youth - in 1931(b),Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
4M,Former Foster Youth (FFY),Full Scope (No SOC),Former Foster Care Children,"Individuals under the age of 26, not othewise mandatorily eligible, who were in foster care and on Mediciad either when they turned age 18 or agedout of foster care. ",9,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(IX) ,42 CFR 435.150
4N,Foster Care Non Minor Dependent (NMD) - CalWORKS,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
4P,CalWORKS - Family Reunification - All Families,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
4R,CalWORKS - Family Reunification - Two Parents,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
4S,Foster Care Non Minor Dependent (NMD) - Title IV-E Extended - Kinship Guardianship Assistance Payment (Kin-GAP),Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
4T,Foster Children/Youth - Title IV-E Kinship Guardianship Assistance Program (Kin-GAP),Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
4V,Trafficking and Crime Victims Assistance Program (TCVAP) - Refugee Medical Assistance (RMA),Full Scope (SOC),State - Trafficking and Crime Victims Assistance Program (TCVAP) - Refugee Medical Assistance,State - Trafficking and Crime Victims Assistance Program (TCVAP) - Refugee Medical Assistance,-,N/A,N/A,N/A,N/A,N/A
4W,Foster Care Non Minor Dependent (NMD) - Kinship Guardianship Assistance Program (Kin-GAP) - State Cash,Full Scope (No SOC),Reasonable Classifications of Individuals Under Age 21,Individuals under age 21 who are not mandatorily eligible and who have income at or below a standard established by the State.,28,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(I) and (IV),42 CFR 435.222
5C,Medi-Cal Presumptive Eligibility Transitional Children - Healthy Families Program (HFP) (Obsolete),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
5D,Medi-Cal Presumptive Eligibility Transitional Children - Healthy Families Program (HFP) (Obsolete) Premium,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
5E,Medi-Cal Presumptive Eligibility Transitional Children - Healthy Families Program (HFP) (Obsolete),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
5F,Pregnant - Omnibus Budget Reconcilliation Act (OBRA) Alien (Deactivated Aid Code),Restricted or Limited (SOC/No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
5J,Pending SB 87 Disability Determination,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
5K,Emergency Assistance (EA) Foster Care,Full Scope (No SOC),Children with Non-IV-E Adoption Assistance,"Children with special needs for whom there is a non-IV-E adoption assistance agreement in effect with a state, who either were eligible for Medicaid or had income at or below a standard established by the state.",29,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(VIII),42 CFR 435.227
5L,Emergency Assistance (EA) Foster Care,Full Scope (No SOC),Children with Non-IV-E Adoption Assistance,"Children with special needs for whom there is a non-IV-E adoption assistance agreement in effect with a state, who either were eligible for Medicaid or had income at or below a standard established by the state.",29,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(VIII),42 CFR 435.227
5R,Pending SB 87 Disability Determination,Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
5T,Transitional Medi-Cal (TMC) - Additional 6 Month,Restricted or Limited (No SOC),Transitional Medical Assistance,Families with Medicaid eligibility extended for up to 12 months because of earnings.,2,Family/Adult,Mandatory  ,Medicaid,408(a)(11)(A); 1902(a)(52); 1902(e)(1)(B); 1925; 1931(c)(2),N/A
5V,Trafficking and Crime Victims Assistance Program (TCVAP),Full Scope (No SOC),State - Trafficking and Crime Victims Assistance Program (TCVAP),State - Trafficking and Crime Victims Assistance Program (TCVAP),-,N/A,N/A,N/A,N/A,N/A
5W,Four-Month Continuing,Restricted or Limited (No SOC),Extended Medicaid due to Spousal Support Collections,Families with Medicaid eligibility extended for 4 months as the result of the collection of spousal support.,4,Family/Adult,Mandatory  ,Medicaid,408(a)(11)(B); 1931(c)(1),42 CFR 435.115
6A,Disabled Adult Child(ren) (DAC) - Blind,Full Scope (No SOC),Disabled Adult Children,Individuals who lose eligibility for SSI at age 18 or older due to receipt of or increase inTitle II OASDI child benefits. ,22,ABD,Mandatory  ,Medicaid,1634(c),N/A
6C,Disabled Adult Child(ren) (DAC) - Disabled,Full Scope (No SOC),Disabled Adult Children,Individuals who lose eligibility for SSI at age 18 or older due to receipt of or increase inTitle II OASDI child benefits. ,22,ABD,Mandatory  ,Medicaid,1634(c),N/A
6E,Disabled - Pending SB 87 Redetermination,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
6F,Disabled - Personal Care Services Progam (PCSP),No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
6G,Working Disabled Program - 250% Federal Poverty Level (FPL) - Premium,Full Scope (No SOC),Work Incentives Eligibility Group,"Individuals with a disability with income below 250% of the FPL, who would qualify for SSI except for earned income.",47,ABD,Optional  ,Medicaid,1902(a)(10)(A)(ii)(XIII),N/A
6H,Disabled - Federal Poverty Level (FPL) Program,Full Scope (No SOC),Poverty Level Aged or Disabled,"Individuals who are aged or disabled with income equal to or less than a percentage of the FPL, established by the state (no higher than 100%)",46,ABD,Optional  ,Medicaid,"1902(a)(10)(A)(ii)(X), and 1902(m)(1)",N/A
6J,SB 87 Pending Disability,Full Scope (No SOC),Working Disabled under 1619(b),"Blind or disabled individuals who participated in Medicaid as SSI cash recipients or who were considered to be receiving SSI, who would still qualify for SSI except for earnings.",21,ABD,Mandatory  ,Medicaid,1619(b); 1902(a)(10)(A)(i)(II)(bb); 1905(q),N/A
6K,Cash Assistance Program for Immigrants (CAPI) - Non-Qualified Aliens,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
6M,Cash Assistance Program for Immigrants (CAPI) - Sponsored Aliens,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
6N,Former Supplemental Security Income (SSI) Recipients - No Longer Disabled In Appeals Status,Full Scope (No SOC),Working Disabled under 1619(b),"Blind or disabled individuals who participated in Medicaid as SSI cash recipients or who were considered to be receiving SSI, who would still qualify for SSI except for earnings.",21,ABD,Mandatory  ,Medicaid,1619(b); 1902(a)(10)(A)(i)(II)(bb); 1905(q),N/A
6P,Personal Responsibility and Work Opportunity Reconciliation Act (PRWORA) - No Longer Disabled Children,Full Scope (No SOC),Working Disabled under 1619(b),"Blind or disabled individuals who participated in Medicaid as SSI cash recipients or who were considered to be receiving SSI, who would still qualify for SSI except for earnings.",21,ABD,Mandatory  ,Medicaid,1619(b); 1902(a)(10)(A)(i)(II)(bb); 1905(q),N/A
6R,SB 87 Pending Disability,Full Scope (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
6S,Disabled - Substantial Gainful Activity (SGA),Full Scope (SOC/No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
6T,Cash Assistance Program for Immigrants (CAPI) - Limited Term Qualified Aliens,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
6U,Disabled - Federal Poverty Level (FPL) Program ,Restricted or Limited (No SOC),Poverty Level Aged or Disabled,"Individuals who are aged or disabled with income equal to or less than a percentage of the FPL, established by the state (no higher than 100%).",46,ABD,Optional  ,Medicaid,"1902(a)(10)(A)(ii)(X), and 1902(m)(1)",N/A
6V,Disabled - Department of Developmental Services (DDS) Waiver,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
6W,Disabled - Department of Developmental Services (DDS)  Waivers ,Full Scope (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.324
6X,Medi-Cal In-Home Operations (IHO) Waiver,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
6Y,Medi-Cal In-Home Operations (IHO) Waiver,Full Scope (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
